Status Rekening,Durasi dalam bulan,Riwayat Kredit,Tujuan Kredit,Jumlah Kredit (DM),Tabungan/Bonds,Pekerjaan Saat Ini,Tingkat Angsuran (%),Status Pribadi dan Jenis Kelamin,Debitur / Penjamin,Tinggal di Tempat Saat Ini,Properti,Usia (tahun),Rencana Angsuran Lain,Tempat Tinggal,Jumlah Kredit di Bank Ini,Pekerjaan,Jumlah Tanggungan,Nomor Telepon,Pekerja Migran,Kelayakan Kredit
Tidak ada rekening,24,Masalah / kredit di luar bank,Furniture,1585,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,3,Tabungan/Asuransi,40,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,18,Kredit berjalan lancar,TV / Radio,1301,< 100 DM,>= 7 thn,4,Pria menikah/duda,Penjamin,2,Properti,32,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
>= 200 DM / gaji tetap,6,Masalah / kredit di luar bank,Mobil baru,1323,100-499 DM,>= 7 thn,2,Pria cerai/pisah,Tidak ada,4,Mobil / lainnya,28,Tidak ada,Milik sendiri,2,Terampil / pegawai,2,Ada,Ya,Baik
< 0 DM,24,Kredit berjalan lancar,Mobil baru,3123,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,1,Tabungan/Asuransi,27,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,36,Kredit berjalan lancar,Mobil bekas,5493,< 100 DM,>= 7 thn,2,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,42,Tidak ada,Gratis,1,Terampil / pegawai,2,Tidak ada,Ya,Baik
>= 200 DM / gaji tetap,9,Kredit berjalan lancar,TV / Radio,1126,100-499 DM,>= 7 thn,2,Pria cerai/pisah,Tidak ada,4,Properti,49,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,24,Masalah / kredit di luar bank,TV / Radio,1216,100-499 DM,< 1 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,38,Bank,Milik sendiri,2,Terampil / pegawai,2,Tidak ada,Ya,Buruk
< 0 DM,24,Kredit berjalan lancar,Mobil baru,1207,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,24,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,10,Kredit berjalan lancar,Mobil baru,1309,Tidak ada / tidak tahu,1-4 thn,4,Pria lajang,Penjamin,4,Tabungan/Asuransi,27,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
>= 200 DM / gaji tetap,15,Masalah / kredit di luar bank,Mobil bekas,2360,500-999 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,36,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,15,Kredit di bank ini lancar,Mobil baru,6850,100-499 DM,Menganggur,1,Pria lajang,Tidak ada,2,Tabungan/Asuransi,34,Tidak ada,Milik sendiri,1,Manajer / profesional,2,Ada,Ya,Buruk
Tidak ada rekening,24,Kredit berjalan lancar,TV / Radio,1413,< 100 DM,1-4 thn,4,Pria menikah/duda,Tidak ada,2,Tabungan/Asuransi,28,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,39,Kredit berjalan lancar,Mobil bekas,8588,100-499 DM,>= 7 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,45,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,Mobil baru,759,< 100 DM,4-7 thn,4,Pria lajang,Tidak ada,2,Properti,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,36,Kredit berjalan lancar,Mobil bekas,4686,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Tidak ada / tidak tahu,32,Tidak ada,Gratis,1,Manajer / profesional,1,Ada,Ya,Baik
>= 200 DM / gaji tetap,15,Kredit berjalan lancar,Bisnis,2687,< 100 DM,4-7 thn,2,Pria lajang,Tidak ada,4,Tabungan/Asuransi,26,Tidak ada,Sewa,1,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,12,Pernah telat bayar,TV / Radio,585,< 100 DM,1-4 thn,4,Pria menikah/duda,Ko-pemohon,4,Properti,20,Tidak ada,Sewa,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,Mobil baru,2255,Tidak ada / tidak tahu,< 1 thn,4,Pria lajang,Tidak ada,1,Tabungan/Asuransi,54,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,6,Masalah / kredit di luar bank,Mobil baru,609,< 100 DM,4-7 thn,4,Wanita menikah/cerai,Tidak ada,3,Tabungan/Asuransi,37,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Bukan,Baik
< 0 DM,6,Masalah / kredit di luar bank,Mobil baru,1361,< 100 DM,< 1 thn,2,Pria lajang,Tidak ada,4,Properti,40,Tidak ada,Milik sendiri,1,Tidak terampil (residen),2,Tidak ada,Bukan,Baik
Tidak ada rekening,36,Masalah / kredit di luar bank,Furniture,7127,< 100 DM,< 1 thn,2,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,23,Tidak ada,Sewa,2,Terampil / pegawai,1,Ada,Ya,Buruk
< 0 DM,6,Kredit berjalan lancar,Mobil baru,1203,100-499 DM,>= 7 thn,3,Pria lajang,Tidak ada,2,Tabungan/Asuransi,43,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,6,Masalah / kredit di luar bank,TV / Radio,700,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,36,Tidak ada,Gratis,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Masalah / kredit di luar bank,Renovasi,5507,< 100 DM,>= 7 thn,3,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,44,Tidak ada,Gratis,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,18,Kredit berjalan lancar,TV / Radio,3190,< 100 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,2,Properti,24,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,48,Tidak pernah kredit / selalu lancar,Furniture,7119,< 100 DM,1-4 thn,3,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,53,Tidak ada,Gratis,2,Terampil / pegawai,2,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Kredit berjalan lancar,Mobil bekas,3488,100-499 DM,4-7 thn,3,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,23,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,18,Kredit berjalan lancar,TV / Radio,1113,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Penjamin,4,Properti,26,Tidak ada,Milik sendiri,1,Tidak terampil (residen),2,Tidak ada,Ya,Baik
0-199 DM,26,Kredit berjalan lancar,Mobil bekas,7966,< 100 DM,< 1 thn,2,Pria lajang,Tidak ada,3,Mobil / lainnya,30,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,15,Masalah / kredit di luar bank,Pendidikan,1532,100-499 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,3,Mobil / lainnya,31,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,4,Masalah / kredit di luar bank,TV / Radio,1503,< 100 DM,4-7 thn,2,Pria lajang,Tidak ada,1,Properti,42,Tidak ada,Milik sendiri,2,Tidak terampil (residen),2,Tidak ada,Ya,Baik
< 0 DM,36,Kredit berjalan lancar,TV / Radio,2302,< 100 DM,1-4 thn,4,Pria cerai/pisah,Tidak ada,4,Mobil / lainnya,31,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,6,Kredit berjalan lancar,Mobil baru,662,< 100 DM,< 1 thn,3,Pria lajang,Tidak ada,4,Properti,41,Tidak ada,Milik sendiri,1,Tidak terampil (residen),2,Ada,Ya,Baik
0-199 DM,36,Kredit berjalan lancar,Pendidikan,2273,< 100 DM,4-7 thn,3,Pria lajang,Tidak ada,1,Mobil / lainnya,32,Tidak ada,Milik sendiri,2,Terampil / pegawai,2,Tidak ada,Ya,Baik
0-199 DM,15,Kredit berjalan lancar,Mobil baru,2631,100-499 DM,1-4 thn,2,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,28,Tidak ada,Sewa,2,Terampil / pegawai,1,Ada,Ya,Buruk
Tidak ada rekening,12,Pernah telat bayar,Mobil bekas,1503,< 100 DM,1-4 thn,4,Pria menikah/duda,Tidak ada,4,Properti,41,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,TV / Radio,1311,100-499 DM,4-7 thn,4,Pria menikah/duda,Tidak ada,3,Tabungan/Asuransi,26,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,TV / Radio,3105,Tidak ada / tidak tahu,< 1 thn,4,Pria lajang,Tidak ada,2,Mobil / lainnya,25,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
>= 200 DM / gaji tetap,21,Masalah / kredit di luar bank,Pendidikan,2319,< 100 DM,< 1 thn,2,Pria cerai/pisah,Tidak ada,1,Mobil / lainnya,33,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,6,Kredit berjalan lancar,Mobil baru,1374,Tidak ada / tidak tahu,Menganggur,4,Wanita menikah/cerai,Tidak ada,3,Tabungan/Asuransi,75,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Baik
0-199 DM,18,Masalah / kredit di luar bank,Furniture,3612,< 100 DM,>= 7 thn,3,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,37,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,48,Kredit berjalan lancar,Mobil baru,7763,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,42,Bank,Gratis,1,Manajer / profesional,1,Tidak ada,Ya,Buruk
>= 200 DM / gaji tetap,18,Kredit berjalan lancar,Furniture,3049,< 100 DM,< 1 thn,1,Wanita menikah/cerai,Tidak ada,1,Tabungan/Asuransi,45,Toko,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,TV / Radio,1534,< 100 DM,< 1 thn,1,Pria menikah/duda,Tidak ada,1,Properti,23,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Pernah telat bayar,Mobil baru,2032,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,60,Tidak ada,Gratis,2,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,30,Kredit berjalan lancar,Furniture,6350,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Tabungan/Asuransi,31,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
>= 200 DM / gaji tetap,18,Kredit berjalan lancar,Furniture,2864,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,1,Properti,34,Tidak ada,Milik sendiri,1,Tidak terampil (residen),2,Tidak ada,Ya,Buruk
Tidak ada rekening,12,Masalah / kredit di luar bank,Mobil baru,1255,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Properti,61,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
< 0 DM,24,Pernah telat bayar,Mobil baru,1333,< 100 DM,Menganggur,4,Pria lajang,Tidak ada,2,Properti,43,Tidak ada,Gratis,2,Terampil / pegawai,2,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Masalah / kredit di luar bank,Mobil baru,2022,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,37,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,TV / Radio,1552,< 100 DM,4-7 thn,3,Pria lajang,Tidak ada,1,Mobil / lainnya,32,Bank,Milik sendiri,1,Terampil / pegawai,2,Tidak ada,Ya,Baik
< 0 DM,12,Kredit di bank ini lancar,TV / Radio,626,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,4,Properti,24,Bank,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
Tidak ada rekening,48,Masalah / kredit di luar bank,Mobil bekas,8858,Tidak ada / tidak tahu,4-7 thn,2,Pria lajang,Tidak ada,1,Tidak ada / tidak tahu,35,Tidak ada,Gratis,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,12,Masalah / kredit di luar bank,Renovasi,996,Tidak ada / tidak tahu,4-7 thn,4,Wanita menikah/cerai,Tidak ada,4,Properti,23,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,6,Kredit di bank ini lancar,TV / Radio,1750,500-999 DM,>= 7 thn,2,Pria lajang,Tidak ada,4,Tabungan/Asuransi,45,Bank,Milik sendiri,1,Tidak terampil (residen),2,Tidak ada,Ya,Baik
< 0 DM,48,Kredit berjalan lancar,TV / Radio,6999,< 100 DM,4-7 thn,1,Pria menikah/duda,Penjamin,1,Properti,34,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Buruk
0-199 DM,12,Masalah / kredit di luar bank,Mobil baru,1995,100-499 DM,< 1 thn,4,Pria lajang,Tidak ada,1,Mobil / lainnya,27,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,9,Kredit berjalan lancar,Pendidikan,1199,< 100 DM,4-7 thn,4,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,67,Tidak ada,Milik sendiri,2,Manajer / profesional,1,Ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,TV / Radio,1331,< 100 DM,< 1 thn,2,Pria lajang,Tidak ada,1,Mobil / lainnya,22,Toko,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,18,Tidak pernah kredit / selalu lancar,Mobil baru,2278,100-499 DM,< 1 thn,3,Wanita menikah/cerai,Tidak ada,3,Mobil / lainnya,28,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,21,Tidak pernah kredit / selalu lancar,Mobil baru,5003,Tidak ada / tidak tahu,1-4 thn,1,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,29,Bank,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Buruk
< 0 DM,24,Kredit di bank ini lancar,Furniture,3552,< 100 DM,4-7 thn,3,Pria lajang,Tidak ada,4,Mobil / lainnya,27,Bank,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,18,Masalah / kredit di luar bank,Furniture,1928,< 100 DM,< 1 thn,2,Pria lajang,Tidak ada,2,Properti,31,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
< 0 DM,24,Kredit berjalan lancar,Mobil bekas,2964,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,49,Bank,Gratis,1,Terampil / pegawai,2,Ada,Ya,Baik
< 0 DM,24,Kredit di bank ini lancar,TV / Radio,1546,< 100 DM,4-7 thn,4,Pria lajang,Penjamin,4,Mobil / lainnya,24,Bank,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
>= 200 DM / gaji tetap,6,Pernah telat bayar,TV / Radio,683,< 100 DM,< 1 thn,2,Wanita menikah/cerai,Tidak ada,1,Tabungan/Asuransi,29,Bank,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,36,Kredit berjalan lancar,Mobil baru,12389,Tidak ada / tidak tahu,1-4 thn,1,Pria lajang,Tidak ada,4,Tidak ada / tidak tahu,37,Tidak ada,Gratis,1,Terampil / pegawai,1,Ada,Ya,Buruk
0-199 DM,24,Pernah telat bayar,Bisnis,4712,Tidak ada / tidak tahu,1-4 thn,4,Pria lajang,Tidak ada,2,Tabungan/Asuransi,37,Bank,Milik sendiri,2,Manajer / profesional,1,Ada,Ya,Baik
0-199 DM,24,Pernah telat bayar,TV / Radio,1553,100-499 DM,4-7 thn,3,Wanita menikah/cerai,Tidak ada,2,Tabungan/Asuransi,23,Tidak ada,Sewa,2,Terampil / pegawai,1,Ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,Mobil baru,1372,< 100 DM,4-7 thn,2,Pria cerai/pisah,Tidak ada,3,Mobil / lainnya,36,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Masalah / kredit di luar bank,TV / Radio,2578,>= 1000 DM,>= 7 thn,2,Pria lajang,Tidak ada,2,Mobil / lainnya,34,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,48,Kredit berjalan lancar,TV / Radio,3979,Tidak ada / tidak tahu,4-7 thn,4,Pria lajang,Tidak ada,1,Mobil / lainnya,41,Tidak ada,Milik sendiri,2,Terampil / pegawai,2,Ada,Ya,Baik
< 0 DM,48,Kredit berjalan lancar,TV / Radio,6758,< 100 DM,1-4 thn,3,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,31,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Buruk
< 0 DM,24,Kredit berjalan lancar,Furniture,3234,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,4,Properti,23,Tidak ada,Sewa,1,Tidak terampil (residen),1,Ada,Ya,Buruk
Tidak ada rekening,30,Masalah / kredit di luar bank,TV / Radio,5954,< 100 DM,4-7 thn,3,Pria lajang,Ko-pemohon,2,Mobil / lainnya,38,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Kredit berjalan lancar,Mobil bekas,5433,Tidak ada / tidak tahu,Menganggur,2,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,26,Tidak ada,Sewa,1,Manajer / profesional,1,Ada,Ya,Baik
< 0 DM,15,Kredit berjalan lancar,Bisnis,806,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,22,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,9,Kredit berjalan lancar,TV / Radio,1082,< 100 DM,>= 7 thn,4,Pria lajang,Tidak ada,4,Mobil / lainnya,27,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
Tidak ada rekening,15,Masalah / kredit di luar bank,Furniture,2788,< 100 DM,4-7 thn,2,Wanita menikah/cerai,Ko-pemohon,3,Mobil / lainnya,24,Bank,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,12,Kredit berjalan lancar,TV / Radio,2930,< 100 DM,4-7 thn,2,Wanita menikah/cerai,Tidak ada,1,Properti,27,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
Tidak ada rekening,24,Masalah / kredit di luar bank,Pendidikan,1927,Tidak ada / tidak tahu,1-4 thn,3,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,33,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Ada,Ya,Baik
0-199 DM,36,Masalah / kredit di luar bank,Mobil baru,2820,< 100 DM,< 1 thn,4,Pria cerai/pisah,Tidak ada,4,Mobil / lainnya,27,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Kredit berjalan lancar,Pelatihan ulang,937,< 100 DM,< 1 thn,4,Pria menikah/duda,Tidak ada,3,Mobil / lainnya,27,Tidak ada,Milik sendiri,2,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,18,Masalah / kredit di luar bank,Mobil baru,1056,< 100 DM,>= 7 thn,3,Pria lajang,Penjamin,3,Properti,30,Bank,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,12,Masalah / kredit di luar bank,Mobil baru,3124,< 100 DM,< 1 thn,1,Pria lajang,Tidak ada,3,Properti,49,Bank,Milik sendiri,2,Tidak terampil (residen),2,Tidak ada,Ya,Baik
Tidak ada rekening,9,Kredit berjalan lancar,Furniture,1388,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,2,Properti,26,Tidak ada,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,36,Kredit berjalan lancar,Renovasi,2384,< 100 DM,< 1 thn,4,Pria lajang,Tidak ada,1,Tidak ada / tidak tahu,33,Tidak ada,Sewa,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
Tidak ada rekening,12,Kredit berjalan lancar,Mobil baru,2133,Tidak ada / tidak tahu,>= 7 thn,4,Wanita menikah/cerai,Tidak ada,4,Tidak ada / tidak tahu,52,Tidak ada,Gratis,1,Manajer / profesional,1,Ada,Ya,Baik
< 0 DM,18,Kredit berjalan lancar,Furniture,2039,< 100 DM,1-4 thn,1,Wanita menikah/cerai,Tidak ada,4,Properti,20,Bank,Sewa,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,9,Masalah / kredit di luar bank,Mobil baru,2799,< 100 DM,1-4 thn,2,Pria lajang,Tidak ada,2,Properti,36,Tidak ada,Sewa,2,Terampil / pegawai,2,Tidak ada,Ya,Baik
< 0 DM,12,Kredit berjalan lancar,Furniture,1289,< 100 DM,1-4 thn,4,Pria lajang,Penjamin,1,Tabungan/Asuransi,21,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
< 0 DM,18,Kredit berjalan lancar,Peralatan rumah,1217,< 100 DM,1-4 thn,4,Pria menikah/duda,Tidak ada,3,Properti,47,Tidak ada,Milik sendiri,1,Tidak terampil (residen),1,Ada,Ya,Buruk
< 0 DM,12,Masalah / kredit di luar bank,Furniture,2246,< 100 DM,>= 7 thn,3,Pria lajang,Tidak ada,3,Tabungan/Asuransi,60,Tidak ada,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
< 0 DM,12,Masalah / kredit di luar bank,TV / Radio,385,< 100 DM,4-7 thn,4,Wanita menikah/cerai,Tidak ada,3,Properti,58,Tidak ada,Milik sendiri,4,Tidak terampil (residen),1,Ada,Ya,Baik
0-199 DM,24,Pernah telat bayar,Mobil baru,1965,Tidak ada / tidak tahu,1-4 thn,4,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,42,Tidak ada,Sewa,2,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,21,Kredit berjalan lancar,Bisnis,1572,>= 1000 DM,>= 7 thn,4,Wanita menikah/cerai,Tidak ada,4,Properti,36,Bank,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Baik
0-199 DM,24,Kredit berjalan lancar,Mobil baru,2718,< 100 DM,1-4 thn,3,Wanita menikah/cerai,Tidak ada,4,Tabungan/Asuransi,20,Tidak ada,Sewa,1,Tidak terampil (residen),1,Ada,Ya,Buruk
< 0 DM,24,Kredit di bank ini lancar,Lainnya,1358,Tidak ada / tidak tahu,>= 7 thn,4,Pria lajang,Tidak ada,3,Mobil / lainnya,40,Toko,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Buruk
0-199 DM,6,Kredit di bank ini lancar,Mobil baru,931,100-499 DM,< 1 thn,1,Wanita menikah/cerai,Tidak ada,1,Tabungan/Asuransi,32,Toko,Milik sendiri,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
< 0 DM,24,Kredit berjalan lancar,Mobil baru,1442,< 100 DM,4-7 thn,4,Wanita menikah/cerai,Tidak ada,4,Mobil / lainnya,23,Tidak ada,Sewa,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,24,Tidak pernah kredit / selalu lancar,Bisnis,4241,< 100 DM,1-4 thn,1,Pria lajang,Tidak ada,4,Properti,36,Tidak ada,Milik sendiri,3,Tidak terampil (residen),1,Ada,Ya,Buruk
Tidak ada rekening,18,Masalah / kredit di luar bank,Mobil baru,2775,< 100 DM,4-7 thn,2,Pria lajang,Tidak ada,2,Tabungan/Asuransi,31,Bank,Milik sendiri,2,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,24,Pernah telat bayar,Bisnis,3863,< 100 DM,1-4 thn,1,Pria lajang,Tidak ada,2,Tidak ada / tidak tahu,32,Tidak ada,Gratis,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,7,Kredit berjalan lancar,TV / Radio,2329,< 100 DM,< 1 thn,1,Wanita menikah/cerai,Penjamin,1,Properti,45,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
0-199 DM,9,Kredit berjalan lancar,Furniture,918,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,1,Tabungan/Asuransi,30,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
0-199 DM,24,Kredit di bank ini lancar,Pendidikan,1837,< 100 DM,4-7 thn,4,Wanita menikah/cerai,Tidak ada,4,Tidak ada / tidak tahu,34,Bank,Gratis,1,Tidak terampil (residen),1,Tidak ada,Ya,Buruk
Tidak ada rekening,36,Kredit berjalan lancar,Furniture,3349,< 100 DM,1-4 thn,4,Wanita menikah/cerai,Tidak ada,2,Mobil / lainnya,28,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Buruk
>= 200 DM / gaji tetap,10,Kredit berjalan lancar,Furniture,1275,< 100 DM,< 1 thn,4,Wanita menikah/cerai,Tidak ada,2,Tabungan/Asuransi,23,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
< 0 DM,24,Kredit di bank ini lancar,Furniture,2828,500-999 DM,1-4 thn,4,Pria lajang,Tidak ada,4,Properti,22,Toko,Milik sendiri,1,Terampil / pegawai,1,Ada,Ya,Baik
Tidak ada rekening,24,Masalah / kredit di luar bank,Bisnis,4526,< 100 DM,1-4 thn,3,Pria lajang,Tidak ada,2,Properti,74,Tidak ada,Milik sendiri,1,Manajer / profesional,1,Ada,Ya,Baik
0-199 DM,36,Kredit berjalan lancar,TV / Radio,2671,100-499 DM,1-4 thn,4,Wanita menikah/cerai,Ko-pemohon,4,Tidak ada / tidak tahu,50,Tidak ada,Gratis,1,Terampil / pegawai,1,Tidak ada,Ya,Buruk
Tidak ada rekening,18,Kredit berjalan lancar,TV / Radio,2051,< 100 DM,< 1 thn,4,Pria lajang,Tidak ada,1,Properti,33,Tidak ada,Milik sendiri,1,Terampil / pegawai,1,Tidak ada,Ya,Baik
